Task ID,Annotation Type,Annotation ID,Severity,Notes
5f127f6f26831d0010e985e5,information_sign,1e418b05-398c-42a2-95b5-b88da7f9a145,warning,possible mislabel
5f127f6f26831d0010e985e5,information_sign,89e6b03e-1e6c-4ca3-9bc5-2660c1ddd768,warning,possible mislabel
5f127f6f26831d0010e985e5,non_visible_face,5d0f3488-135c-4757-b121-43cce10726c8,warning,possible mislabel
5f127f6f26831d0010e985e5,non_visible_face,1076a071-ba89-4bf5-8249-aa5e641992e4,warning,possible mislabel
5f127f6f26831d0010e985e5,non_visible_face,a9cc3478-b9f9-480b-bd32-cbb9c4e10af6,warning,possible mislabel
5f127f6f26831d0010e985e5,non_visible_face,1b048402-5527-4b89-8a76-09fbe61735a0,warning,possible mislabel
5f127f6c3a6b1000172320ad,non_visible_face,0565b84a-8a1b-4486-ad36-fef148894b03,warning,possible mislabel
5f127f6c3a6b1000172320ad,traffic_control_sign,839ffc1f-b6cc-4d31-8524-dbb3d8fde3ee,warning,possible mislabel
5f127f6c3a6b1000172320ad,traffic_control_sign,4972bf86-e345-4a0f-8bb5-9d2a86569b3e,warning,possible mislabel
5f127f6c3a6b1000172320ad,traffic_control_sign,8f9e0df3-7534-46ab-b7b4-dbae311c88cd,warning,possible mislabel
5f127f6c3a6b1000172320ad,traffic_control_sign,dda85426-ba5f-4910-b92b-e50fc0bfb793,warning,possible mislabel
5f127f6c3a6b1000172320ad,traffic_control_sign,0bc2ab2c-16b0-461e-8866-08f3bdc87238,error,truncation > 50% + possible mislabel
5f127f6c3a6b1000172320ad,policy_sign,fd7a83ed-cbcc-4b98-8746-98c7551cb4a2,warning,possible mislabel
5f127f6c3a6b1000172320ad,traffic_control_sign,c1feef88-40a5-4275-b631-8cdbd554cb08,warning,possible mislabel
5f127f6c3a6b1000172320ad,non_visible_face,e0294801-e987-4549-9bea-23d5b9a8622b,warning,possible mislabel
5f127f6c3a6b1000172320ad,traffic_control_sign,665c4b67-3600-4523-b780-340e55adcad4,warning,possible mislabel
5f127f671ab28b001762c204,traffic_control_sign,83873098-643e-4c7d-8e09-aa064577a7c4,warning,possible mislabel
5f127f671ab28b001762c204,non_visible_face,858e3de8-a89c-47ae-b993-ef74f20087e5,warning,possible mislabel
5f127f671ab28b001762c204,traffic_control_sign,57cfe77b-b389-46ca-943d-5034c9380095,warning,possible mislabel
5f127f671ab28b001762c204,non_visible_face,8b1dcb55-553d-498e-bf7d-65b6737fa59e,warning,possible mislabel
5f127f671ab28b001762c204,traffic_control_sign,c40b230e-d938-4d56-a2f5-0f0cc60242f1,warning,possible mislabel
5f127f671ab28b001762c204,traffic_control_sign,104e88f5-4d34-4032-8f79-aeece7365014,warning,possible mislabel
5f127f671ab28b001762c204,traffic_control_sign,64eb36b3-aa8f-4672-8e2c-2504e728187d,warning,possible mislabel
5f127f671ab28b001762c204,non_visible_face,65cb1e23-507d-458e-9f76-a12e0aa84716,warning,possible mislabel
5f127f671ab28b001762c204,traffic_control_sign,fbfc1b02-2493-46e3-829b-729c1b06a538,warning,possible mislabel
5f127f671ab28b001762c204,information_sign,00610d41-fd17-4e9a-97ff-6d33e07102ad,warning,possible mislabel
5f127f671ab28b001762c204,traffic_control_sign,b6e4e79a-9640-43e0-9c7f-a6094c46b642,warning,possible mislabel
5f127f671ab28b001762c204,non_visible_face,af326982-eaf5-44c1-92dd-13b6ab715c4d,error,occlusion > 50% + possible mislabel
5f127f671ab28b001762c204,non_visible_face,000e9def-59a8-4e13-a85a-96ba551dae6f,warning,possible mislabel
5f127f671ab28b001762c204,non_visible_face,06e358df-f426-4239-99c6-df9ba6594d5a,warning,possible mislabel
5f127f671ab28b001762c204,traffic_control_sign,3c0dbc34-2fdb-4366-87f4-dbc45534a6d0,warning,possible mislabel
5f127f671ab28b001762c204,traffic_control_sign,b008c68b-57c4-4e1b-a176-40eeb16fd8ef,warning,possible mislabel
5f127f671ab28b001762c204,non_visible_face,992baf1f-026a-4941-805a-e0e9ba6aa685,warning,possible mislabel
5f127f671ab28b001762c204,traffic_control_sign,0c2ecdda-b441-44db-b1ec-e0295f82cb2d,warning,possible mislabel
5f127f671ab28b001762c204,non_visible_face,84dfe8ae-2872-42c0-a460-1d96565d0d78,warning,possible mislabel
5f127f671ab28b001762c204,non_visible_face,23982f64-a487-45ba-9114-2e87431f6cda,warning,possible mislabel
5f127f671ab28b001762c204,non_visible_face,55f17c73-b2ae-4aeb-866e-b296cc881476,warning,possible mislabel
5f127f671ab28b001762c204,traffic_control_sign,2d072941-cf11-48e9-8d48-3091a37db362,warning,possible mislabel
5f127f671ab28b001762c204,non_visible_face,3fc2afb3-e1fa-4885-a631-482fc42e8ad8,warning,possible mislabel
5f127f671ab28b001762c204,non_visible_face,9ef86fe9-02d8-4330-b566-db92b965e1d4,warning,possible mislabel
5f127f671ab28b001762c204,information_sign,d5368f86-488a-4769-afd1-8b75a03e6f65,warning,possible mislabel
5f127f671ab28b001762c204,non_visible_face,22df517a-b4b9-47b6-9785-fcee86cfc1ca,warning,possible mislabel
5f127f671ab28b001762c204,traffic_control_sign,1a52f86f-3ff9-4ec4-9bad-912837747794,warning,possible mislabel
5f127f671ab28b001762c204,traffic_control_sign,f1a5fef3-30ac-4bdb-9c65-c1b227cbc5fd,warning,possible mislabel
5f127f671ab28b001762c204,traffic_control_sign,b664abcd-7b14-42c6-836c-d14d246a1664,warning,possible mislabel
5f127f671ab28b001762c204,traffic_control_sign,18194f0d-3dcc-4bf5-b47f-bf684f7d7a6f,warning,possible mislabel
5f127f671ab28b001762c204,traffic_control_sign,b485ba3f-e652-4b23-8449-b69cef698113,warning,possible mislabel
5f127f643a6b1000172320a5,non_visible_face,90e2c226-64ca-4568-b3a4-f59daf5b6583,warning,possible mislabel
5f127f643a6b1000172320a5,policy_sign,97702974-1d67-40cb-bd5a-08e3efc7f753,warning,possible mislabel
5f127f643a6b1000172320a5,traffic_control_sign,1838e58b-45c6-471f-adf2-c6e75c15b08c,warning,possible mislabel
5f127f643a6b1000172320a5,policy_sign,699704b6-3e81-42b1-8131-b1686157ca26,warning,possible mislabel
5f127f5f3a6b100017232099,non_visible_face,27f4e6b1-188f-4e92-8a3e-cd9dcee139c2,error,truncation > 50% + possible mislabel
5f127f5f3a6b100017232099,non_visible_face,cdbdb50c-f40e-463e-b2ee-c4f50ef9aa90,warning,possible mislabel
5f127f5f3a6b100017232099,traffic_control_sign,1f4105b0-8651-4fdf-b673-b74136f56ad6,warning,possible mislabel
5f127f5f3a6b100017232099,traffic_control_sign,9da76450-bf48-4809-8ded-2fb78f79d77a,warning,possible mislabel
5f127f5f3a6b100017232099,non_visible_face,08333b85-b375-447f-a66f-99f1b053fe9c,warning,possible mislabel
5f127f5f3a6b100017232099,non_visible_face,ae0b82b0-76bf-4c14-9dce-7766da968ad3,warning,possible mislabel
5f127f5f3a6b100017232099,traffic_control_sign,bb95de70-d32f-4a3e-9a25-28300e6f6dc6,warning,possible mislabel
5f127f5f3a6b100017232099,traffic_control_sign,5ee54a43-fdce-4bb5-b5e7-0f162cccceba,warning,possible mislabel
5f127f5f3a6b100017232099,traffic_control_sign,022865ce-4287-4876-86bf-3246ae1dad9f,warning,possible mislabel
5f127f5f3a6b100017232099,information_sign,3523b86f-1429-4300-a225-a4b13612ad31,warning,possible mislabel
5f127f5f3a6b100017232099,traffic_control_sign,04e71569-03c4-48d6-b566-982df88560ff,warning,possible mislabel
5f127f5f3a6b100017232099,traffic_control_sign,7160965f-5d27-4291-b3f5-f677a8205c77,warning,possible mislabel
5f127f5f3a6b100017232099,non_visible_face,053c011a-9fe1-4ff1-8140-9d7c2310b7b2,warning,possible mislabel
5f127f5f3a6b100017232099,non_visible_face,86f7d374-8574-42be-ab2d-3f2945992f31,warning,possible mislabel
5f127f5f3a6b100017232099,traffic_control_sign,d2adfa57-88fc-4361-b450-5d13e0040f62,warning,possible mislabel
5f127f5f3a6b100017232099,information_sign,daeedc6f-3c26-4eed-9adb-c4454b7b0695,warning,possible mislabel
5f127f5f3a6b100017232099,non_visible_face,45ba8760-8e8b-442b-8a24-5be005d47bb4,warning,possible mislabel
5f127f5f3a6b100017232099,non_visible_face,915c0153-23d2-47aa-938d-97d352838105,warning,possible mislabel
5f127f5f3a6b100017232099,non_visible_face,c4aeb4bc-455e-45f0-a10d-0529386d9952,warning,possible mislabel
5f127f5f3a6b100017232099,traffic_control_sign,860bbaaf-b080-46e6-b8a4-80a0ca38b946,warning,possible mislabel
5f127f5f3a6b100017232099,information_sign,0ac0c72e-d384-4039-80bb-7ac9d71a4d87,warning,possible mislabel
5f127f5f3a6b100017232099,non_visible_face,25e6e90c-7acb-4786-a0fb-ca7b10fc3687,warning,possible mislabel
5f127f5ab1cb1300109e4ffc,non_visible_face,cfe6cdc9-1d7f-44f8-93a5-0dfa3d4bcd95,warning,possible mislabel
5f127f5ab1cb1300109e4ffc,non_visible_face,c4e5748f-0886-40a6-b819-ab4ce1ea81f8,warning,possible mislabel
5f127f5ab1cb1300109e4ffc,non_visible_face,e78b5101-4ec2-420a-a727-8ecbebb26a16,warning,possible mislabel
5f127f5ab1cb1300109e4ffc,non_visible_face,95177d50-489e-4322-9d2e-15e288a187d6,warning,possible mislabel
5f127f5ab1cb1300109e4ffc,non_visible_face,258b3310-d438-4dc0-a0fc-6978679d6232,warning,possible mislabel
5f127f5ab1cb1300109e4ffc,policy_sign,3fb2176f-3801-408e-aa22-76519f8dcb91,warning,possible mislabel
5f127f5ab1cb1300109e4ffc,non_visible_face,be566b34-b162-405c-b486-7ed2b038a041,warning,possible mislabel
5f127f55fdc4150010e37244,non_visible_face,535a6147-cdc3-49f4-9a97-002a7e3195ba,warning,possible mislabel
5f127f55fdc4150010e37244,non_visible_face,e2284849-dfbf-44cc-98f1-fc09420102c0,warning,possible mislabel
5f127f55fdc4150010e37244,non_visible_face,972ac409-a86e-41eb-b0e2-f667c065dd5a,warning,possible mislabel
5f127f55fdc4150010e37244,non_visible_face,f4501d53-1ff5-474c-81a2-fc0412d028fa,warning,possible mislabel
5f127f55fdc4150010e37244,non_visible_face,4240108c-1969-415a-ad1e-2c5a07217167,warning,possible mislabel
5f127f55fdc4150010e37244,non_visible_face,804358f6-1bfd-4903-9edc-9de27c5fe27b,warning,possible mislabel
5f127f55fdc4150010e37244,traffic_control_sign,725f1bb1-431c-4f3c-9602-be79c555547b,warning,possible mislabel
5f127f55fdc4150010e37244,traffic_control_sign,8e1a898d-7ed1-4abc-8ef1-4a2a47eb5cad,warning,possible mislabel
5f127f55fdc4150010e37244,non_visible_face,941944be-8add-4b0d-b604-32683cb47cef,warning,possible mislabel
